Food Name,Food Category,Nutrient,Amount per 100g,Safe Limit,Toxicity Limit,Unit,Associated NCD
Almonds,Nuts & Seeds,Saturated Fat,27.82,20.0,50,g,Heart Disease
Almonds,Nuts & Seeds,Sugar,26.07,50.0,100,g,Diabetes
Almonds,Nuts & Seeds,Vitamin C,112.31,90.0,2000,mg,Gastrointestinal Issues
Almonds,Nuts & Seeds,Fat,29.05,70.0,100,g,Obesity
Almonds,Nuts & Seeds,Sodium,1042.88,2300.0,3500,mg,Hypertension
Almonds,Nuts & Seeds,Cholesterol,442.31,300.0,500,mg,Heart Disease
Almonds,Nuts & Seeds,Vitamin E,9.17,15.0,1000,mg,Bleeding Issues
Almonds,Nuts & Seeds,Folic Acid,87.16,400.0,1000,mcg,Neurological Issues
Apple,Fruit,Vitamin D,3647.1,4000.0,10000,IU,Toxicity Symptoms
Apple,Fruit,Cholesterol,98.87,300.0,500,mg,Heart Disease
Apple,Fruit,Saturated Fat,20.15,20.0,50,g,Heart Disease
Apple,Fruit,Fiber,18.46,30.0,50,g,Digestive Issues
Apple,Fruit,Carbohydrates,132.33,250.0,400,g,Obesity
Apple,Fruit,Folic Acid,356.17,400.0,1000,mcg,Neurological Issues
Apple,Fruit,Zinc,11.35,11.0,40,mg,Immune Dysfunction
Apple,Fruit,Omega-3,4.46,3.0,5,g,Blood Clot Issues
Apple,Fruit,Sodium,788.32,2300.0,3500,mg,Hypertension
Apple,Fruit,Magnesium,122.34,400.0,1000,mg,Nerve Damage
Apple,Fruit,Protein,71.12,50.0,200,g,Kidney Damage
Apple,Fruit,Calcium,1090.5,1000.0,2500,mg,Kidney Stones
Apple,Fruit,Vitamin B12,3.46,2.4,500,mcg,Neurological Issues
Avocado,Fruit,Iron,16.36,18.0,45,mg,Liver Damage
Avocado,Fruit,Omega-3,1.57,3.0,5,g,Blood Clot Issues
Avocado,Fruit,Copper,1.07,0.9,10,mg,Liver Damage
Avocado,Fruit,Zinc,15.41,11.0,40,mg,Immune Dysfunction
Avocado,Fruit,Cholesterol,212.77,300.0,500,mg,Heart Disease
Avocado,Fruit,Phosphorus,266.29,700.0,4000,mg,Bone Loss
Avocado,Fruit,Vitamin B12,1.46,2.4,500,mcg,Neurological Issues
Avocado,Fruit,Sodium,2814.07,2300.0,3500,mg,Hypertension
Avocado,Fruit,Vitamin D,2211.37,4000.0,10000,IU,Toxicity Symptoms
Avocado,Fruit,Folic Acid,275.36,400.0,1000,mcg,Neurological Issues
Avocado,Fruit,Magnesium,410.64,400.0,1000,mg,Nerve Damage
Banana,Fruit,Folic Acid,360.8,400.0,1000,mcg,Neurological Issues
Banana,Fruit,Vitamin C,109.44,90.0,2000,mg,Gastrointestinal Issues
Banana,Fruit,Fiber,43.51,30.0,50,g,Digestive Issues
Banana,Fruit,Vitamin E,10.38,15.0,1000,mg,Bleeding Issues
Banana,Fruit,Sugar,20.29,50.0,100,g,Diabetes
Banana,Fruit,Vitamin B12,2.35,2.4,500,mcg,Neurological Issues
Banana,Fruit,Omega-3,0.95,3.0,5,g,Blood Clot Issues
Barley,Grains,Cholesterol,124.14,300.0,500,mg,Heart Disease
Barley,Grains,Manganese,3.25,2.3,11,mg,Neurological Problems
Barley,Grains,Sugar,53.61,50.0,100,g,Diabetes
Barley,Grains,Vitamin A,997.65,3000.0,10000,IU,Liver Toxicity
Barley,Grains,Folic Acid,268.6,400.0,1000,mcg,Neurological Issues
Barley,Grains,Sodium,1527.24,2300.0,3500,mg,Hypertension
Barley,Grains,Protein,36.61,50.0,200,g,Kidney Damage
Barley,Grains,Vitamin B12,0.92,2.4,500,mcg,Neurological Issues
Barley,Grains,Vitamin C,121.31,90.0,2000,mg,Gastrointestinal Issues
Barley,Grains,Saturated Fat,29.69,20.0,50,g,Heart Disease
Barley,Grains,Carbohydrates,347.97,250.0,400,g,Obesity
Beef,Meat,Carbohydrates,248.96,250.0,400,g,Obesity
Beef,Meat,Folic Acid,243.03,400.0,1000,mcg,Neurological Issues
Beef,Meat,Zinc,10.47,11.0,40,mg,Immune Dysfunction
Beef,Meat,Selenium,74.98,55.0,400,mcg,Selenosis
Beef,Meat,Saturated Fat,4.05,20.0,50,g,Heart Disease
Beef,Meat,Vitamin C,75.34,90.0,2000,mg,Gastrointestinal Issues
Beef,Meat,Vitamin E,4.55,15.0,1000,mg,Bleeding Issues
Beef,Meat,Manganese,1.43,2.3,11,mg,Neurological Problems
Beetroot,Root & Tubers,Folic Acid,127.41,400.0,1000,mcg,Neurological Issues
Beetroot,Root & Tubers,Phosphorus,264.34,700.0,4000,mg,Bone Loss
Beetroot,Root & Tubers,Copper,1.03,0.9,10,mg,Liver Damage
Beetroot,Root & Tubers,Vitamin E,13.68,15.0,1000,mg,Bleeding Issues
Beetroot,Root & Tubers,Manganese,1.16,2.3,11,mg,Neurological Problems
Beetroot,Root & Tubers,Calcium,1448.01,1000.0,2500,mg,Kidney Stones
Beetroot,Root & Tubers,Vitamin A,2266.28,3000.0,10000,IU,Liver Toxicity
Beetroot,Root & Tubers,Vitamin C,86.26,90.0,2000,mg,Gastrointestinal Issues
Beetroot,Root & Tubers,Vitamin B6,1.39,1.3,100,mg,Nerve Damage
Beetroot,Root & Tubers,Omega-3,2.63,3.0,5,g,Blood Clot Issues
Beetroot,Root & Tubers,Vitamin D,1377.67,4000.0,10000,IU,Toxicity Symptoms
Beetroot,Root & Tubers,Potassium,5246.16,3500.0,4700,mg,Hyperkalemia
Beetroot,Root & Tubers,Iron,6.83,18.0,45,mg,Liver Damage
Beetroot,Root & Tubers,Fat,87.38,70.0,100,g,Obesity
Bell Pepper,Vegetable,Cholesterol,100.81,300.0,500,mg,Heart Disease
Bell Pepper,Vegetable,Carbohydrates,298.95,250.0,400,g,Obesity
Bell Pepper,Vegetable,Omega-3,1.05,3.0,5,g,Blood Clot Issues
Bell Pepper,Vegetable,Saturated Fat,20.45,20.0,50,g,Heart Disease
Bell Pepper,Vegetable,Copper,1.08,0.9,10,mg,Liver Damage
Bell Pepper,Vegetable,Vitamin A,2320.97,3000.0,10000,IU,Liver Toxicity
Bell Pepper,Vegetable,Phosphorus,277.65,700.0,4000,mg,Bone Loss
Bell Pepper,Vegetable,Calcium,343.14,1000.0,2500,mg,Kidney Stones
Bell Pepper,Vegetable,Fiber,26.84,30.0,50,g,Digestive Issues
Black Beans,Legumes,Folic Acid,358.99,400.0,1000,mcg,Neurological Issues
Black Beans,Legumes,Fiber,8.83,30.0,50,g,Digestive Issues
Black Beans,Legumes,Selenium,68.57,55.0,400,mcg,Selenosis
Black Beans,Legumes,Sugar,17.85,50.0,100,g,Diabetes
Black Beans,Legumes,Vitamin C,53.03,90.0,2000,mg,Gastrointestinal Issues
Black Beans,Legumes,Manganese,0.52,2.3,11,mg,Neurological Problems
Black Beans,Legumes,Fat,84.7,70.0,100,g,Obesity
Black Beans,Legumes,Protein,22.56,50.0,200,g,Kidney Damage
Black Beans,Legumes,Vitamin A,960.7,3000.0,10000,IU,Liver Toxicity
Black Beans,Legumes,Omega-3,2.09,3.0,5,g,Blood Clot Issues
Blueberry,Fruit,Sugar,60.52,50.0,100,g,Diabetes
Blueberry,Fruit,Omega-3,3.2,3.0,5,g,Blood Clot Issues
Blueberry,Fruit,Vitamin C,77.01,90.0,2000,mg,Gastrointestinal Issues
Blueberry,Fruit,Vitamin K,156.23,120.0,500,mcg,Blood Clotting Issues
Blueberry,Fruit,Vitamin B6,1.65,1.3,100,mg,Nerve Damage
Blueberry,Fruit,Copper,0.48,0.9,10,mg,Liver Damage
Blueberry,Fruit,Potassium,1151.01,3500.0,4700,mg,Hyperkalemia
Blueberry,Fruit,Fiber,31.86,30.0,50,g,Digestive Issues
Blueberry,Fruit,Carbohydrates,69.49,250.0,400,g,Obesity
Blueberry,Fruit,Iron,19.93,18.0,45,mg,Liver Damage
Blueberry,Fruit,Selenium,64.85,55.0,400,mcg,Selenosis
Broccoli,Vegetable,Sugar,63.03,50.0,100,g,Diabetes
Broccoli,Vegetable,Vitamin E,6.22,15.0,1000,mg,Bleeding Issues
Broccoli,Vegetable,Vitamin K,145.54,120.0,500,mcg,Blood Clotting Issues
Broccoli,Vegetable,Zinc,3.86,11.0,40,mg,Immune Dysfunction
Broccoli,Vegetable,Vitamin B12,1.43,2.4,500,mcg,Neurological Issues
Broccoli,Vegetable,Copper,0.18,0.9,10,mg,Liver Damage
Broccoli,Vegetable,Protein,57.67,50.0,200,g,Kidney Damage
Broccoli,Vegetable,Selenium,11.92,55.0,400,mcg,Selenosis
Broccoli,Vegetable,Sodium,2792.82,2300.0,3500,mg,Hypertension
Broccoli,Vegetable,Vitamin B6,1.64,1.3,100,mg,Nerve Damage
Brown Rice,Grains,Vitamin C,112.95,90.0,2000,mg,Gastrointestinal Issues
Brown Rice,Grains,Sodium,772.8,2300.0,3500,mg,Hypertension
Brown Rice,Grains,Calcium,1428.11,1000.0,2500,mg,Kidney Stones
Brown Rice,Grains,Manganese,2.14,2.3,11,mg,Neurological Problems
Brown Rice,Grains,Vitamin E,11.5,15.0,1000,mg,Bleeding Issues
Brown Rice,Grains,Copper,0.58,0.9,10,mg,Liver Damage
Brown Rice,Grains,Fiber,8.25,30.0,50,g,Digestive Issues
Brown Rice,Grains,Protein,31.63,50.0,200,g,Kidney Damage
Brussels Sprouts,Vegetable,Vitamin C,91.04,90.0,2000,mg,Gastrointestinal Issues
Brussels Sprouts,Vegetable,Vitamin K,146.5,120.0,500,mcg,Blood Clotting Issues
Brussels Sprouts,Vegetable,Zinc,2.86,11.0,40,mg,Immune Dysfunction
Brussels Sprouts,Vegetable,Copper,1.26,0.9,10,mg,Liver Damage
Brussels Sprouts,Vegetable,Manganese,3.27,2.3,11,mg,Neurological Problems
Brussels Sprouts,Vegetable,Protein,63.16,50.0,200,g,Kidney Damage
Brussels Sprouts,Vegetable,Vitamin E,7.87,15.0,1000,mg,Bleeding Issues
Brussels Sprouts,Vegetable,Selenium,67.78,55.0,400,mcg,Selenosis
Brussels Sprouts,Vegetable,Iron,10.32,18.0,45,mg,Liver Damage
Brussels Sprouts,Vegetable,Vitamin A,856.48,3000.0,10000,IU,Liver Toxicity
Brussels Sprouts,Vegetable,Cholesterol,425.77,300.0,500,mg,Heart Disease
Brussels Sprouts,Vegetable,Folic Acid,81.18,400.0,1000,mcg,Neurological Issues
Butter,Dairy,Cholesterol,339.65,300.0,500,mg,Heart Disease
Butter,Dairy,Potassium,809.84,3500.0,4700,mg,Hyperkalemia
Butter,Dairy,Sodium,1941.9,2300.0,3500,mg,Hypertension
Butter,Dairy,Carbohydrates,278.19,250.0,400,g,Obesity
Butter,Dairy,Saturated Fat,17.39,20.0,50,g,Heart Disease
Butter,Dairy,Vitamin A,3551.22,3000.0,10000,IU,Liver Toxicity
Butter,Dairy,Phosphorus,725.64,700.0,4000,mg,Bone Loss
Butter,Dairy,Vitamin D,3107.45,4000.0,10000,IU,Toxicity Symptoms
Butter,Dairy,Manganese,0.57,2.3,11,mg,Neurological Problems
Butter,Dairy,Vitamin B6,1.77,1.3,100,mg,Nerve Damage
Butter,Dairy,Zinc,6.18,11.0,40,mg,Immune Dysfunction
Butter,Dairy,Protein,73.8,50.0,200,g,Kidney Damage
Carrot,Vegetable,Copper,1.13,0.9,10,mg,Liver Damage
Carrot,Vegetable,Magnesium,425.56,400.0,1000,mg,Nerve Damage
Carrot,Vegetable,Fat,14.71,70.0,100,g,Obesity
Carrot,Vegetable,Vitamin K,107.01,120.0,500,mcg,Blood Clotting Issues
Carrot,Vegetable,Phosphorus,299.04,700.0,4000,mg,Bone Loss
Carrot,Vegetable,Omega-3,1.31,3.0,5,g,Blood Clot Issues
Cashews,Nuts & Seeds,Sugar,54.78,50.0,100,g,Diabetes
Cashews,Nuts & Seeds,Manganese,1.21,2.3,11,mg,Neurological Problems
Cashews,Nuts & Seeds,Phosphorus,614.08,700.0,4000,mg,Bone Loss
Cashews,Nuts & Seeds,Saturated Fat,8.41,20.0,50,g,Heart Disease
Cashews,Nuts & Seeds,Vitamin D,2367.98,4000.0,10000,IU,Toxicity Symptoms
Cashews,Nuts & Seeds,Vitamin E,16.55,15.0,1000,mg,Bleeding Issues
Cashews,Nuts & Seeds,Potassium,2327.29,3500.0,4700,mg,Hyperkalemia
Cassava,Root & Tubers,Sugar,17.73,50.0,100,g,Diabetes
Cassava,Root & Tubers,Vitamin D,3376.18,4000.0,10000,IU,Toxicity Symptoms
Cassava,Root & Tubers,Phosphorus,1041.22,700.0,4000,mg,Bone Loss
Cassava,Root & Tubers,Sodium,2350.7,2300.0,3500,mg,Hypertension
Cassava,Root & Tubers,Fiber,20.82,30.0,50,g,Digestive Issues
Cassava,Root & Tubers,Vitamin K,44.45,120.0,500,mcg,Blood Clotting Issues
Cassava,Root & Tubers,Magnesium,324.99,400.0,1000,mg,Nerve Damage
Cassava,Root & Tubers,Zinc,5.56,11.0,40,mg,Immune Dysfunction
Cauliflower,Vegetable,Sodium,2794.33,2300.0,3500,mg,Hypertension
Cauliflower,Vegetable,Copper,0.96,0.9,10,mg,Liver Damage
Cauliflower,Vegetable,Iron,19.68,18.0,45,mg,Liver Damage
Cauliflower,Vegetable,Vitamin K,108.43,120.0,500,mcg,Blood Clotting Issues
Cauliflower,Vegetable,Carbohydrates,208.11,250.0,400,g,Obesity
Cauliflower,Vegetable,Zinc,6.02,11.0,40,mg,Immune Dysfunction
Cauliflower,Vegetable,Potassium,5244.8,3500.0,4700,mg,Hyperkalemia
Cheese,Dairy,Vitamin E,3.44,15.0,1000,mg,Bleeding Issues
Cheese,Dairy,Selenium,62.04,55.0,400,mcg,Selenosis
Cheese,Dairy,Fat,37.08,70.0,100,g,Obesity
Cheese,Dairy,Sodium,2660.06,2300.0,3500,mg,Hypertension
Cheese,Dairy,Zinc,10.18,11.0,40,mg,Immune Dysfunction
Cheese,Dairy,Vitamin C,37.87,90.0,2000,mg,Gastrointestinal Issues
Cheese,Dairy,Potassium,1954.89,3500.0,4700,mg,Hyperkalemia
Cheese,Dairy,Folic Acid,184.67,400.0,1000,mcg,Neurological Issues
Cheese,Dairy,Iron,11.66,18.0,45,mg,Liver Damage
Cherries,Fruit,Vitamin B6,0.34,1.3,100,mg,Nerve Damage
Cherries,Fruit,Fiber,26.05,30.0,50,g,Digestive Issues
Cherries,Fruit,Carbohydrates,271.7,250.0,400,g,Obesity
Cherries,Fruit,Magnesium,394.13,400.0,1000,mg,Nerve Damage
Cherries,Fruit,Saturated Fat,27.86,20.0,50,g,Heart Disease
Cherries,Fruit,Vitamin B12,2.57,2.4,500,mcg,Neurological Issues
Cherries,Fruit,Omega-3,3.72,3.0,5,g,Blood Clot Issues
Cherries,Fruit,Vitamin A,2934.23,3000.0,10000,IU,Liver Toxicity
Cherries,Fruit,Protein,31.46,50.0,200,g,Kidney Damage
Chia Seeds,Nuts & Seeds,Selenium,14.52,55.0,400,mcg,Selenosis
Chia Seeds,Nuts & Seeds,Manganese,3.3,2.3,11,mg,Neurological Problems
Chia Seeds,Nuts & Seeds,Vitamin D,1382.09,4000.0,10000,IU,Toxicity Symptoms
Chia Seeds,Nuts & Seeds,Fiber,12.28,30.0,50,g,Digestive Issues
Chia Seeds,Nuts & Seeds,Magnesium,386.67,400.0,1000,mg,Nerve Damage
Chicken,Meat,Vitamin C,78.4,90.0,2000,mg,Gastrointestinal Issues
Chicken,Meat,Vitamin B6,1.48,1.3,100,mg,Nerve Damage
Chicken,Meat,Potassium,2107.99,3500.0,4700,mg,Hyperkalemia
Chicken,Meat,Folic Acid,332.09,400.0,1000,mcg,Neurological Issues
Chickpeas,Legumes,Potassium,2725.61,3500.0,4700,mg,Hyperkalemia
Chickpeas,Legumes,Calcium,478.5,1000.0,2500,mg,Kidney Stones
Chickpeas,Legumes,Carbohydrates,150.6,250.0,400,g,Obesity
Chickpeas,Legumes,Protein,63.43,50.0,200,g,Kidney Damage
Chickpeas,Legumes,Zinc,6.95,11.0,40,mg,Immune Dysfunction
Clams,Fish & Seafood,Folic Acid,166.64,400.0,1000,mcg,Neurological Issues
Clams,Fish & Seafood,Copper,0.18,0.9,10,mg,Liver Damage
Clams,Fish & Seafood,Sodium,1230.95,2300.0,3500,mg,Hypertension
Clams,Fish & Seafood,Vitamin B12,2.83,2.4,500,mcg,Neurological Issues
Clams,Fish & Seafood,Fat,96.56,70.0,100,g,Obesity
Clams,Fish & Seafood,Sugar,33.54,50.0,100,g,Diabetes
Clams,Fish & Seafood,Zinc,11.89,11.0,40,mg,Immune Dysfunction
Clams,Fish & Seafood,Manganese,2.73,2.3,11,mg,Neurological Problems
Cocoa,Beverages & Others,Vitamin K,167.02,120.0,500,mcg,Blood Clotting Issues
Cocoa,Beverages & Others,Calcium,947.86,1000.0,2500,mg,Kidney Stones
Cocoa,Beverages & Others,Sugar,28.91,50.0,100,g,Diabetes
Cocoa,Beverages & Others,Carbohydrates,128.58,250.0,400,g,Obesity
Cocoa,Beverages & Others,Magnesium,88.72,400.0,1000,mg,Nerve Damage
Cocoa,Beverages & Others,Copper,1.0,0.9,10,mg,Liver Damage
Coconut,Fruit,Fiber,13.25,30.0,50,g,Digestive Issues
Coconut,Fruit,Folic Acid,315.33,400.0,1000,mcg,Neurological Issues
Coconut,Fruit,Cholesterol,301.91,300.0,500,mg,Heart Disease
Coconut,Fruit,Phosphorus,676.52,700.0,4000,mg,Bone Loss
Coconut,Fruit,Magnesium,557.44,400.0,1000,mg,Nerve Damage
Coconut,Fruit,Calcium,1418.91,1000.0,2500,mg,Kidney Stones
Coconut,Fruit,Vitamin B6,0.44,1.3,100,mg,Nerve Damage
Coconut,Fruit,Fat,48.52,70.0,100,g,Obesity
Coconut,Fruit,Manganese,0.74,2.3,11,mg,Neurological Problems
Coffee,Beverages & Others,Potassium,4303.5,3500.0,4700,mg,Hyperkalemia
Coffee,Beverages & Others,Copper,0.84,0.9,10,mg,Liver Damage
Coffee,Beverages & Others,Folic Acid,489.81,400.0,1000,mcg,Neurological Issues
Coffee,Beverages & Others,Zinc,10.87,11.0,40,mg,Immune Dysfunction
Coffee,Beverages & Others,Selenium,57.26,55.0,400,mcg,Selenosis
Coffee,Beverages & Others,Protein,37.09,50.0,200,g,Kidney Damage
Coffee,Beverages & Others,Vitamin A,2307.84,3000.0,10000,IU,Liver Toxicity
Corn,Grains,Cholesterol,302.05,300.0,500,mg,Heart Disease
Corn,Grains,Potassium,2767.67,3500.0,4700,mg,Hyperkalemia
Corn,Grains,Iron,23.48,18.0,45,mg,Liver Damage
Corn,Grains,Magnesium,575.52,400.0,1000,mg,Nerve Damage
Corn,Grains,Vitamin E,9.86,15.0,1000,mg,Bleeding Issues
Corn,Grains,Fiber,39.8,30.0,50,g,Digestive Issues
Corn,Grains,Calcium,914.66,1000.0,2500,mg,Kidney Stones
Corn,Grains,Vitamin K,154.05,120.0,500,mcg,Blood Clotting Issues
Cottage Cheese,Dairy,Fat,31.48,70.0,100,g,Obesity
Cottage Cheese,Dairy,Selenium,66.63,55.0,400,mcg,Selenosis
Cottage Cheese,Dairy,Vitamin B12,3.07,2.4,500,mcg,Neurological Issues
Cottage Cheese,Dairy,Protein,52.53,50.0,200,g,Kidney Damage
Cottage Cheese,Dairy,Iron,9.84,18.0,45,mg,Liver Damage
Cottage Cheese,Dairy,Vitamin A,1217.03,3000.0,10000,IU,Liver Toxicity
Cottage Cheese,Dairy,Vitamin B6,0.5,1.3,100,mg,Nerve Damage
Crab,Fish & Seafood,Selenium,42.9,55.0,400,mcg,Selenosis
Crab,Fish & Seafood,Iron,7.01,18.0,45,mg,Liver Damage
Crab,Fish & Seafood,Potassium,766.38,3500.0,4700,mg,Hyperkalemia
Crab,Fish & Seafood,Vitamin A,4043.88,3000.0,10000,IU,Liver Toxicity
Crab,Fish & Seafood,Fat,42.53,70.0,100,g,Obesity
Crab,Fish & Seafood,Saturated Fat,21.14,20.0,50,g,Heart Disease
Cream,Dairy,Carbohydrates,259.8,250.0,400,g,Obesity
Cream,Dairy,Protein,21.47,50.0,200,g,Kidney Damage
Cream,Dairy,Vitamin C,51.86,90.0,2000,mg,Gastrointestinal Issues
Cream,Dairy,Manganese,1.17,2.3,11,mg,Neurological Problems
Cream,Dairy,Fat,103.46,70.0,100,g,Obesity
Cream,Dairy,Omega-3,2.3,3.0,5,g,Blood Clot Issues
Cream,Dairy,Vitamin D,5293.87,4000.0,10000,IU,Toxicity Symptoms
Cream,Dairy,Fiber,42.76,30.0,50,g,Digestive Issues
Cream,Dairy,Phosphorus,754.49,700.0,4000,mg,Bone Loss
Cream,Dairy,Copper,1.25,0.9,10,mg,Liver Damage
Cucumber,Vegetable,Copper,0.92,0.9,10,mg,Liver Damage
Cucumber,Vegetable,Potassium,4560.07,3500.0,4700,mg,Hyperkalemia
Cucumber,Vegetable,Cholesterol,367.97,300.0,500,mg,Heart Disease
Cucumber,Vegetable,Iron,9.24,18.0,45,mg,Liver Damage
Cucumber,Vegetable,Vitamin C,18.67,90.0,2000,mg,Gastrointestinal Issues
Cucumber,Vegetable,Calcium,1471.72,1000.0,2500,mg,Kidney Stones
Cucumber,Vegetable,Magnesium,91.97,400.0,1000,mg,Nerve Damage
Cucumber,Vegetable,Vitamin B12,2.63,2.4,500,mcg,Neurological Issues
Cucumber,Vegetable,Phosphorus,192.33,700.0,4000,mg,Bone Loss
Cucumber,Vegetable,Fat,100.06,70.0,100,g,Obesity
Cucumber,Vegetable,Selenium,34.13,55.0,400,mcg,Selenosis
Cucumber,Vegetable,Omega-3,3.28,3.0,5,g,Blood Clot Issues
Dark Chocolate,Beverages & Others,Fiber,23.36,30.0,50,g,Digestive Issues
Dark Chocolate,Beverages & Others,Folic Acid,529.69,400.0,1000,mcg,Neurological Issues
Dark Chocolate,Beverages & Others,Vitamin A,2276.4,3000.0,10000,IU,Liver Toxicity
Dark Chocolate,Beverages & Others,Omega-3,1.03,3.0,5,g,Blood Clot Issues
Dark Chocolate,Beverages & Others,Protein,44.57,50.0,200,g,Kidney Damage
Dark Chocolate,Beverages & Others,Phosphorus,432.52,700.0,4000,mg,Bone Loss
Dark Chocolate,Beverages & Others,Vitamin D,5909.44,4000.0,10000,IU,Toxicity Symptoms
Dark Chocolate,Beverages & Others,Iron,9.3,18.0,45,mg,Liver Damage
Dark Chocolate,Beverages & Others,Vitamin K,169.67,120.0,500,mcg,Blood Clotting Issues
Dark Chocolate,Beverages & Others,Calcium,390.41,1000.0,2500,mg,Kidney Stones
Duck,Meat,Saturated Fat,27.36,20.0,50,g,Heart Disease
Duck,Meat,Cholesterol,357.91,300.0,500,mg,Heart Disease
Duck,Meat,Potassium,2199.13,3500.0,4700,mg,Hyperkalemia
Duck,Meat,Copper,0.4,0.9,10,mg,Liver Damage
Duck,Meat,Vitamin B6,1.69,1.3,100,mg,Nerve Damage
Duck,Meat,Fiber,43.23,30.0,50,g,Digestive Issues
Duck,Meat,Vitamin C,100.11,90.0,2000,mg,Gastrointestinal Issues
Duck,Meat,Zinc,10.22,11.0,40,mg,Immune Dysfunction
Duck,Meat,Folic Acid,272.37,400.0,1000,mcg,Neurological Issues
Duck,Meat,Omega-3,3.35,3.0,5,g,Blood Clot Issues
